order_date,product_name,category,quantity,unit_price,total_amount,customer_city
2024-02-16,USB Hub,Electronics,5,35,175,Chennai
2025-08-08,Printer Ink,Stationery,10,45,450,Mumbai
2025-05-24,Desk Lamp,Furniture,5,65,325,Hyderabad
2025-05-09,Standing Desk,Furniture,7,599,4193,Hyderabad
2025-04-09,Wireless Mouse,Electronics,1,29,29,Bangalore
2025-03-26,Printer Ink,Stationery,8,45,360,Ahmedabad
2024-07-27,Notebook Pack,Stationery,10,12,120,Bangalore
2024-11-16,Notebook Pack,Stationery,6,12,72,Kolkata
2024-05-13,Notebook Pack,Stationery,9,12,108,Delhi
2024-11-22,Standing Desk,Furniture,8,599,4792,Delhi
2024-09-30,Webcam HD,Electronics,4,79,316,Bangalore
2024-04-09,Laptop Pro,Electronics,5,899,4495,Kolkata
2025-09-22,Printer Ink,Stationery,4,45,180,Bangalore
2024-12-01,USB Hub,Electronics,6,35,210,Chennai
2024-06-12,Webcam HD,Electronics,9,79,711,Ahmedabad
2025-05-25,LED Monitor,Electronics,8,449,3592,Mumbai
2024-04-02,Printer Ink,Stationery,9,45,405,Ahmedabad
2024-09-03,Standing Desk,Furniture,10,599,5990,Pune
2024-02-19,Laptop Pro,Electronics,5,899,4495,Ahmedabad
2025-09-03,Webcam HD,Electronics,5,79,395,Mumbai
2024-04-20,Printer Ink,Stationery,3,45,135,Hyderabad
2025-01-09,Printer Ink,Stationery,6,45,270,Mumbai
2025-02-14,Laptop Pro,Electronics,10,899,8990,Chennai
2025-01-06,Desk Lamp,Furniture,5,65,325,Delhi
2025-01-30,Desk Lamp,Furniture,8,65,520,Hyderabad
2025-09-30,USB Hub,Electronics,2,35,70,Bangalore
2024-04-09,Printer Ink,Stationery,6,45,270,Pune
2025-07-25,Notebook Pack,Stationery,3,12,36,Chennai
2025-09-08,Desk Lamp,Furniture,7,65,455,Mumbai
2024-02-16,Laptop Pro,Electronics,3,899,2697,Pune
2025-04-30,Desk Lamp,Furniture,8,65,520,Bangalore
2025-09-12,Desk Lamp,Furniture,3,65,195,Pune
2025-09-19,Notebook Pack,Stationery,3,12,36,Kolkata
2025-09-23,LED Monitor,Electronics,10,449,4490,Pune
2025-06-03,Desk Lamp,Furniture,9,65,585,Ahmedabad
2025-12-26,USB Hub,Electronics,5,35,175,Ahmedabad
2024-01-18,Notebook Pack,Stationery,6,12,72,Delhi
2025-03-02,USB Hub,Electronics,5,35,175,Mumbai
2025-09-03,Webcam HD,Electronics,5,79,395,Chennai
2024-02-22,USB Hub,Electronics,8,35,280,Bangalore
2025-06-20,USB Hub,Electronics,7,35,245,Bangalore
2025-11-28,Standing Desk,Furniture,1,599,599,Delhi
2024-07-14,Laptop Pro,Electronics,8,899,7192,Pune
2025-03-04,Office Chair,Furniture,7,349,2443,Chennai
2025-02-24,Desk Lamp,Furniture,10,65,650,Ahmedabad
2024-03-04,Office Chair,Furniture,9,349,3141,Chennai
2025-07-28,Notebook Pack,Stationery,8,12,96,Kolkata
2024-11-17,Office Chair,Furniture,8,349,2792,Pune
2025-07-13,Notebook Pack,Stationery,5,12,60,Ahmedabad
2024-07-15,Standing Desk,Furniture,5,599,2995,Hyderabad
2024-08-18,LED Monitor,Electronics,5,449,2245,Chennai
2025-12-07,Webcam HD,Electronics,6,79,474,Ahmedabad
2024-12-23,Desk Lamp,Furniture,5,65,325,Hyderabad
2024-05-04,USB Hub,Electronics,9,35,315,Kolkata
2025-02-08,Notebook Pack,Stationery,3,12,36,Hyderabad
2024-02-13,LED Monitor,Electronics,2,449,898,Pune
2025-03-28,LED Monitor,Electronics,8,449,3592,Chennai
